Species,Predicted mass (kg),Ref mass (kg),% Error
Rn,6.000661688191027e-25,3.68639672912594e-25,62.78% 🔴🡅
Fr,6.0268492469836485e-25,3.703002119797678e-25,62.76% 🔴🡅
Ra,6.108162270953118e-25,3.7528182918128935e-25,62.76% 🔴🡅
Ac,6.134349829745739e-25,3.769423682484632e-25,62.74% 🔴🡅
Th,6.270788318892054e-25,3.853114851470194e-25,62.75% 🔴🡅
Pa,6.2418504125078285e-25,3.836509460798455e-25,62.70% 🔴🡅
U,6.43341436683099e-25,3.9525811415939075e-25,62.76% 🔴🡅
H2O,4.82377448633602e-26,2.991461129513685e-26,61.25% 🔴🡅
CO2,1.1825064103829874e-25,7.308032434632099e-26,61.81% 🔴🡅
O2,8.60004662096718e-26,5.313525750268249e-26,61.85% 🔴🡅
N2,7.525040793346283e-26,4.651734510436784e-26,61.77% 🔴🡅
CH4,5.375029138104487e-26,2.6635046637468497e-26,101.80% 🔴🡅
C6H12O6,3.8700209794352314e-25,2.991627183420402e-25,29.36% 🔴🡅
NH3,5.375029138104487e-26,2.8279810583504195e-26,90.07% 🔴🡅
HCl,9.675052448588079e-26,6.054325438915844e-26,59.80% 🔴🡅
C2H6,9.675052448588079e-26,4.993240974991757e-26,93.76% 🔴🡅
C2H4,8.60004662096718e-26,4.65781208342264e-26,84.64% 🔴🡅
C2H2,7.525040793346283e-26,4.324043730920697e-26,74.03% 🔴🡅
NaCl,1.5050081586692567e-25,9.70419030856396e-26,55.09% 🔴🡅
C8H18,5.267528555342398e-25,1.8968337764326854e-25,177.70% 🔴🡅
C6H6,2.5800139862901547e-25,1.2970470653694916e-25,98.91% 🔴🡅
CH3COOH,1.720009324193436e-25,9.971869206192385e-26,72.49% 🔴🡅
H2SO4,2.687514569052244e-25,1.6286401116934371e-25,65.02% 🔴🡅
CaCO3,2.687514569052244e-25,1.661982075623221e-25,61.71% 🔴🡅
C12H22O11,9.460051283063899e-25,5.684025226936077e-25,66.43% 🔴🡅
Caffeine,1.0427556527922708e-24,3.224600814544893e-25,223.38% 🔴🡅
DNA (avg),5.375029138104487e-23,1.0793503936630003e-23,397.99% 🔴🡅
