file,rows_coeff,closure_error,length_m,writhe,sigma_from_writhe,min_crossing_est,Hvortex_X,Hvortex_Vol(assuming Vol/Vol(4_1)=1),K_fluid_kg_per_m,K_energy_kg_per_m,mass_fluid_kg,mass_energy_kg
knot.4_1.fseries,10,0.0033263882346424856,3.8245779942336258,-0.5024171399556847,-1,1,0,-1.0,9.844625550645778e-39,8.226091068037216e-09,-3.765153824246993e-38,-3.146132687737692e-08
knot.4_1d.fseries,11,,,0.0,0,0,0,0.0,9.844625550645778e-39,8.226091068037216e-09,,
knot.4_1p.fseries,11,,,0.0,0,0,0,0.0,9.844625550645778e-39,8.226091068037216e-09,,
knot.4_1z.fseries,10,0.0046018867803560865,4.05031074957196,1.6880943238218988e-05,0,1,0,0.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0
