file,harmonics_N,closure_error,length_m,writhe,sigma_from_writhe,min_crossing_est,Hvortex_X(b0=3),Hvortex_Vol(Vol/Vol(4_1)),M_fluid_kg,M_energy_kg
knot.4_1.fseries,10,0.0033263882346424856,3.8245779942336253,-0.5017070657076795,-1,1,0,-1.0,-3.7651538242469926e-38,-3.1461326877376914e-08
knot.4_1d.fseries,11,,,0.0,0,0,0,0.0,,
knot.4_1p.fseries,11,,,0.0,0,0,0,0.0,,
knot.4_1z.fseries,10,0.004601886780356077,4.05031074957196,-0.0029370424691085757,0,1,0,0.0,0.0,0.0
