category,file,equation_snippet
Lagrangian; Circulation Γ,VAM_2_Swirl_Clocks/Swirl_Clocks/07_Applications_of_VAM_to_quantum_and_nuclear_processes.tex,"\mathcal{L}_\text{VAM-QED} = \bar{\psi} \left[ i \gamma^\mu \partial_\mu - \gamma^\mu \left( \frac{C_e^2 r_c}{\lambda_c} \right) A_\mu - \left( \frac{8\pi \rho_\text{\ae} r_c^3 \, \text{Lk}}{C_e} \right) \right] \psi - \"
Lagrangian; Circulation Γ,VAM_2_Swirl_Clocks/WervelKlokken/06_Toepassing_VAM_Kwantum_Kernprocessen.tex,\mathcal{L}_\text{VAM-QED} = \bar{\psi} \left[ i \gamma^\mu \partial_\mu - \gamma^\mu \left( \frac{C_e^2 r_c}{\lambda_c} \right) A_\mu - \left( \frac{8\pi \rho_\text{\ae} r_c^3 Lk}{C_e} \right) \right] \psi - \frac{1}{4}
Swirl profile,VAM_0_Einstein_to_Vortex_Fluid/sections/A4_Einstein.tex,\frac{d\tau}{dt} = \sqrt{1 - \frac{C_e^2}{c^2} e^{-r/r_c}}
Swirl profile,VAM_0_Einstein_to_Vortex_Fluid/sections/A5_VAM.tex,"\boldsymbol{\omega} = \nabla \times \vec{v}, \qquad \vec{v}(r) = \frac{C_e}{r} e^{-r/r_c} \, \hat{\theta}"
Swirl profile,VAM_0_Einstein_to_Vortex_Fluid/sections/A5_VAM.tex,"\boldsymbol{S}(t) = \int \Omega(r) \, dt = \int \frac{C_e}{r_c} e^{-r/r_c} dt"
Swirl profile,VAM_1_TimeDilation_in_3D/VAM-1-Time_Dilation_in_3D_Superfluid_Æther_Model.tex,R\omega = v_t
Swirl profile,VAM_1_TimeDilation_in_3D/VAM-1-Time_Dilation_in_3D_Superfluid_Æther_Model.tex,v_t = R\omega
Swirl profile; Circulation Γ,VAM_2_Swirl_Clocks/Swirl_Clocks/07_Applications_of_VAM_to_quantum_and_nuclear_processes.tex,"\Phi_\omega(r) = \gamma \int \frac{|\vec{\omega}(r')|^2}{|\vec{r} - \vec{r}'|} \, d^3r', \quad \text{where} \quad \gamma = G \rho_\text{\ae}^2"
Swirl profile; Circulation Γ,VAM_2_Swirl_Clocks/WervelKlokken/06_Toepassing_VAM_Kwantum_Kernprocessen.tex,"\Phi_\omega(r) = \gamma \int \frac{|\vec{\omega}(r')|^2}{|\vec{r} - \vec{r}'|} \, d^3r', \quad \text{met} \quad \gamma = G \rho_\text{\ae}^2"
Swirl profile; Circulation Γ,VAM_3_Benchmarking_Relativity/sections/12_SpinDynamics.tex,\vec{\Omega}_\text{VAM-de Sitter} = \frac{\gamma}{2 C_e^2} (\vec{v} \times \nabla \Phi_\omega)
Swirl profile; Circulation Γ,VAM_3_Benchmarking_Relativity/sections/13_ISCO_bench.tex,V_{\text{eff}}^{\text{VAM}}(r) = \frac{L^2}{2r^2} - \frac{\kappa^2}{2r^2} - \gamma \left(\frac{d\omega}{dr}\right)^2
Swirl profile; G_swirl,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_D_ExperimentalValidationOfGravitationalPotential.tex,\Delta g(r) = -\dv{\Phi}{r} = -\frac{C_e^3}{2 F_{\text{max}} r_c^2} \left(1 - \frac{r}{r_c}\right) e^{-r/r_c}
Swirl profile; Helicity / v·ω,VAM_2_Swirl_Clocks/Swirl_Clocks/02_entropy.tex,"\frac{dS}{dt} = \int_V \frac{\nabla \cdot \vec{J}_\text{vortex}}{T_\omega} \, dV,"
Time-rate / dilation,VAM_2_Swirl_Clocks/Swirl_Clocks/00_Introduction.tex,\sqrt{1-\frac{2GM}{rc^2}}
Time-rate / dilation,VAM_2_Swirl_Clocks/Swirl_Clocks/00_Introduction.tex,\sqrt{1-\frac{\Omega^2 r^2}{c^2}}
Time-rate / dilation,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_09_TopologicalCharge.tex,"dt = dt_\infty \sqrt{1 - \frac{U_\text{vortex}}{U_\text{max}}}, \quad \text{met} \quad U_\text{vortex} = \frac{1}{2} \rho_\text{\ae} |\vec{\omega}|^2."
Time-rate / dilation,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_10_SplitHelicity.tex,dt = dt_\infty \sqrt{1 - \frac{H_C + H_T}{H_\text{max}}} = dt_\infty \sqrt{1 - \frac{C^2 (\text{Wr} + \text{Tw})}{H_\text{max}}}.
Time-rate / dilation,VAM_2_Swirl_Clocks/WervelKlokken/00_Introductie.tex,\sqrt{1-\frac{2GM}{rc^2}}
