pair,x,y,speed_min,vx,vy
0-1,0.8761459009906009,0.48247078464106863,1.4771391481571527e-10,3.1269220403641444e-11,1.426464529742939e-10
1-2,-0.8674711890996045,0.4974958263772954,2.106158751191803e-10,-1.7506225617213993e-10,-2.0647965401082343e-11
2-0,-0.00867471189099589,-1.0,2.2532555372631527e-10,1.9507377477751573e-12,-2.249147943036194e-10
