pair,x,y,speed_min,vx,vy
0-1,0.8985827497913726,0.443609022556391,2.785768032125299e-10,-8.979071250703548e-11,-7.968144520068625e-11
1-2,-0.9116056881941458,0.42105263157894735,2.40170250848662e-10,1.9442383873916512e-10,-6.891448188175992e-11
2-0,0.004340979467591155,-1.0,1.4678948869389458e-10,7.0711821673379134e-12,1.43130023182009e-10
