Object,Actual Mass (kg),Predicted Mass (kg),% Error
Hg,3.3308753148440195e-25,3.3654885622765206e-25,1.04% 🟢🡅
Tl,3.393809745489908e-25,3.415722440857922e-25,0.65% ❤️🡅
Pb,3.4406369471842102e-25,3.4659563194393237e-25,0.74% ❤️🡅
Bi,3.470194542579905e-25,3.499440923040325e-25,0.84% ❤️🡅
Po,3.4705266503933395e-25,3.4994269766805265e-25,0.83% ❤️🡅
At,3.487132041065078e-25,3.5161623053011283e-25,0.83% ❤️🡅
Rn,3.68639672912594e-25,3.71713965870613e-25,0.83% ❤️🡅
Fr,3.703002119797678e-25,3.7338749873267313e-25,0.83% ❤️🡅
Ra,3.7528182918128935e-25,3.7841088659081326e-25,0.83% ❤️🡅
Ac,3.769423682484632e-25,3.800844194528734e-25,0.83% ❤️🡅
Th,3.853114851470194e-25,3.8845766230709357e-25,0.82% ❤️🡅
Pa,3.836509460798455e-25,3.867813401730737e-25,0.82% ❤️🡅
U,3.9525811415939075e-25,3.9850443802337384e-25,0.82% ❤️🡅
H2O,2.991461129513685e-26,3.01347486049215e-26,0.74% ❤️🡅
CO2,7.308032434632099e-26,7.366612792220331e-26,0.80% ❤️🡅
O2,5.313525750268249e-26,5.357536576160241e-26,0.83% ❤️🡅
N2,4.651734510436784e-26,4.687844504140211e-26,0.78% ❤️🡅
CH4,2.6635046637468497e-26,2.678489360884151e-26,0.56% ❤️🡅
C6H12O6,2.991627183420402e-25,3.0135306459313446e-25,0.73% ❤️🡅
NH3,2.8279810583504195e-26,2.8459821106881504e-26,0.64% ❤️🡅
HCl,6.054325438915844e-26,6.02722864818027e-26,-0.45% ❤️🡇
C2H2,4.324043730920697e-26,4.3528590045322106e-26,0.67% ❤️🡅
NaCl,9.70419030856396e-26,9.710674507888422e-26,0.07% ❤️🡅
CaCO3,1.661982075623221e-25,1.674230180050075e-25,0.74% ❤️🡅
C2H6,4.993240974991757e-26,5.022272149356271e-26,0.58% ❤️🡅
C2H4,4.65781208342264e-26,4.687565576944241e-26,0.64% ❤️🡅
C8H18,1.8968337764326854e-25,1.9084968880188994e-25,0.61% ❤️🡅
C6H6,1.2970470653694916e-25,1.3058577013596634e-25,0.68% ❤️🡅
CH3COOH,9.971869206192385e-26,1.0045102153104482e-25,0.73% ❤️🡅
H2SO4,1.6286401116934371e-25,1.6407316300892754e-25,0.74% ❤️🡅
C12H22O11,5.684025226936077e-25,5.725713805813475e-25,0.73% ❤️🡅
Caffeine,3.224600814544893e-25,6.6969207202003e-26,-79.23% 🔴🡇
