Particle,Predicted Mass (kg),Actual Mass (kg),% Error
Au,3.338304767050591e-25,3.270763800612326e-25,2.06% 🟢🡅
Hg,3.406462657732444e-25,3.3308753148440195e-25,2.27% 🟢🡅
Tl,3.4574258543234075e-25,3.393809745489908e-25,1.87% 🟢🡅
Pb,3.5083890509143714e-25,3.4406369471842102e-25,1.97% 🟢🡅
Bi,3.5421575534144467e-25,3.470194542579905e-25,2.07% 🟢🡅
Po,3.541536667732744e-25,3.4705266503933395e-25,2.05% 🟢🡅
At,3.55811047614193e-25,3.487132041065078e-25,2.04% 🟢🡅
Rn,3.7638259195508927e-25,3.68639672912594e-25,2.10% 🟢🡅
Fr,3.7803997279600793e-25,3.703002119797678e-25,2.09% 🟢🡅
Ra,3.831362924551043e-25,3.7528182918128935e-25,2.09% 🟢🡅
Ac,3.847936732960229e-25,3.769423682484632e-25,2.08% 🟢🡅
Th,3.93328931773297e-25,3.853114851470194e-25,2.08% 🟢🡅
Pa,3.915473737960379e-25,3.836509460798455e-25,2.06% 🟢🡅
U,4.035215710914898e-25,3.9525811415939075e-25,2.09% 🟢🡅
H2O,3.032956368189731e-26,2.991461129513685e-26,1.39% 🟢🡅
CO2,7.429070550016513e-26,7.308032434632099e-26,1.66% 🟢🡅
O2,5.40296040001201e-26,5.313525750268249e-26,1.68% 🟢🡅
N2,4.727590350010508e-26,4.651734510436784e-26,1.63% 🟢🡅
CH4,3.376850250007506e-26,2.6635046637468497e-26,26.78% 🔴🡅
C6H12O6,2.4313321800054044e-25,2.991627183420402e-25,-18.73% 🟠🡇
NH3,3.376850250007506e-26,2.8279810583504195e-26,19.41% 🟠🡅
HCl,6.078330450013511e-26,6.054325438915844e-26,0.40% 🩷🡅
C2H6,6.078330450013511e-26,4.993240974991757e-26,21.73% 🟠🡅
C2H4,5.40296040001201e-26,4.65781208342264e-26,16.00% 🟠🡅
C2H2,4.727590350010508e-26,4.324043730920697e-26,9.33% 🟡🡅
NaCl,9.455180700021017e-26,9.70419030856396e-26,-2.57% 🟡🡇
C8H18,3.309313245007355e-25,1.8968337764326854e-25,74.47% 🔴🡅
C6H6,1.6208881200036028e-25,1.2970470653694916e-25,24.97% 🟠🡅
CH3COOH,1.080592080002402e-25,9.971869206192385e-26,8.36% 🟡🡅
H2SO4,1.6884251250037527e-25,1.6286401116934371e-25,3.67% 🟡🡅
CaCO3,1.6884251250037527e-25,1.661982075623221e-25,1.59% 🟢🡅
C12H22O11,5.94325644001321e-25,5.684025226936077e-25,4.56% 🟡🡅
Caffeine,6.551089485014562e-25,3.224600814544893e-25,103.16% 🔴🡅
DNA (avg),3.3768502500075056e-23,1.0793503936630003e-23,212.86% 🔴🡅
