Species,Predicted mass (kg),Ref mass (kg),% Error
Bi,3.542104916767013e-25,3.470194542579905e-25,2.07% 🟢🡅
Po,3.5414833969088355e-25,3.4705266503933395e-25,2.04% 🟢🡅
At,3.5580565711415465e-25,3.487132041065078e-25,2.03% 🟢🡅
Rn,3.763771380374034e-25,3.68639672912594e-25,2.10% 🟢🡅
Fr,3.7803445546067454e-25,3.703002119797678e-25,2.09% 🟢🡅
Ra,3.831307117021234e-25,3.7528182918128935e-25,2.09% 🟢🡅
Ac,3.8478802912539446e-25,3.769423682484632e-25,2.08% 🟢🡅
Th,3.933232241850211e-25,3.853114851470194e-25,2.08% 🟢🡅
Pa,3.9154160279011452e-25,3.836509460798455e-25,2.06% 🟢🡅
U,4.035157366679189e-25,3.9525811415939075e-25,2.09% 🟢🡅
H2O,3.0328929505422205e-26,2.991461129513685e-26,1.39% 🟢🡅
CO2,7.428931031191991e-26,7.308032434632099e-26,1.65% 🟢🡅
O2,5.402858931775993e-26,5.313525750268249e-26,1.68% 🟢🡅
N2,4.727501565303994e-26,4.651734510436784e-26,1.63% 🟢🡅
CH4,3.3767868323599957e-26,2.6635046637468497e-26,26.78% 🔴🡅
C6H12O6,2.4312865192991973e-25,2.991627183420402e-25,-18.73% 🟠🡇
NH3,3.3767868323599957e-26,2.8279810583504195e-26,19.41% 🟠🡅
HCl,6.078216298247993e-26,6.054325438915844e-26,0.39% 🩷🡅
C2H6,6.078216298247993e-26,4.993240974991757e-26,21.73% 🟠🡅
C2H4,5.402858931775993e-26,4.65781208342264e-26,16.00% 🟠🡅
C2H2,4.727501565303994e-26,4.324043730920697e-26,9.33% 🟡🡅
NaCl,9.455003130607988e-26,9.70419030856396e-26,-2.57% 🟡🡇
C8H18,3.3092510957127958e-25,1.8968337764326854e-25,74.46% 🔴🡅
C6H6,1.6208576795327978e-25,1.2970470653694916e-25,24.97% 🟠🡅
CH3COOH,1.0805717863551985e-25,9.971869206192385e-26,8.36% 🟡🡅
H2SO4,1.6883934161799977e-25,1.6286401116934371e-25,3.67% 🟡🡅
CaCO3,1.6883934161799977e-25,1.661982075623221e-25,1.59% 🟢🡅
C12H22O11,5.943144824953593e-25,5.684025226936077e-25,4.56% 🟡🡅
Caffeine,6.550966454778392e-25,3.224600814544893e-25,103.16% 🔴🡅
DNA (avg),3.376786832359996e-23,1.0793503936630003e-23,212.85% 🔴🡅
