Object,Actual Mass (kg),Predicted Mass (kg),% Error,Predicted Mass (kg) [CANON],% Error [CANON],Predicted Mass (kg) [Sector Norm],% Error [Sector Norm],Predicted Mass (kg) [Exact Closure],% Error [Exact Closure]
Fe,9.273280420632346e-26,9.375967935476392e-26,1.11% 🟢🡅,9.261691471381771e-26,-0.12% ❤️🡇,9.56009205390498e-26,3.09% 🟡🡅,9.375967935476392e-26,1.11% 🟢🡅
Co,9.786054884575631e-26,9.878306721290406e-26,0.94% ❤️🡅,9.760241346855901e-26,-0.26% ❤️🡇,1.0074705780947566e-25,2.95% 🟡🡅,9.878306721290406e-26,0.94% ❤️🡅
Ni,9.746201946963458e-26,9.878167257692421e-26,1.35% 🟢🡅,9.754163228110174e-26,0.08% ❤️🡅,1.0068428846735296e-25,3.31% 🟡🡅,9.878167257692421e-26,1.35% 🟢🡅
Cu,1.0552061556262928e-25,1.0715491543114436e-25,1.55% 🟢🡅,1.0589131766397543e-25,0.35% ❤️🡅,1.0930303014614455e-25,3.58% 🟡🡅,1.0715491543114436e-25,1.55% 🟢🡅
Zn,1.0856604421182608e-25,1.0882844829320453e-25,0.24% ❤️🡅,1.0751262979058437e-25,-0.97% ❤️🡇,1.1097656300820471e-25,2.22% 🟢🡅,1.0882844829320453e-25,0.24% ❤️🡅
Ga,1.1577776538056212e-25,1.1720169114742468e-25,1.23% 🟢🡅,1.1586231517345808e-25,0.07% ❤️🡅,1.195953046869963e-25,3.30% 🟡🡅,1.1720169114742468e-25,1.23% 🟢🡅
Ge,1.2060495244883648e-25,1.222250790055648e-25,1.34% 🟢🡅,1.2084781392819937e-25,0.20% ❤️🡅,1.2474144195742216e-25,3.43% 🟡🡅,1.222250790055648e-25,1.34% 🟢🡅
As,1.2441090799079895e-25,1.2557353936566497e-25,0.93% ❤️🡅,1.241512193688745e-25,-0.21% ❤️🡇,1.281512770236652e-25,3.01% 🟡🡅,1.2557353936566497e-25,0.93% ❤️🡅
Se,1.3113443067378584e-25,1.3227185472184512e-25,0.87% ❤️🡅,1.3081881143768198e-25,-0.24% ❤️🡇,1.3503371649827393e-25,2.97% 🟡🡅,1.3227185472184512e-25,0.87% ❤️🡅
Br,1.3268371362345906e-25,1.3394538758390526e-25,0.95% ❤️🡅,1.3244012356429091e-25,-0.18% ❤️🡇,1.367072493603341e-25,3.03% 🟡🡅,1.3394538758390526e-25,0.95% ❤️🡅
Kr,1.3914985275103401e-25,1.4064370294008542e-25,1.07% 🟢🡅,1.3910771563309844e-25,-0.03% ❤️🡇,1.4358968883494283e-25,3.19% 🟡🡅,1.4064370294008542e-25,1.07% 🟢🡅
Rb,1.4192295299321434e-25,1.4231723580214558e-25,0.28% ❤️🡅,1.4072902775970733e-25,-0.84% ❤️🡇,1.4526322169700297e-25,2.35% 🟢🡅,1.4231723580214558e-25,0.28% ❤️🡅
Sr,1.4549643306577245e-25,1.4734062366028574e-25,1.27% 🟢🡅,1.4571452651444867e-25,0.15% ❤️🡅,1.5040935896742886e-25,3.38% 🟡🡅,1.4734062366028574e-25,1.27% 🟢🡅
Y,1.4763188630615803e-25,1.4901415652234588e-25,0.94% ❤️🡅,1.4733583864105756e-25,-0.20% ❤️🡇,1.52082891829489e-25,3.01% 🟡🡅,1.4901415652234588e-25,0.94% ❤️🡅
Zr,1.51481015863867e-25,1.5236261688244601e-25,0.58% ❤️🡅,1.5063924408173266e-25,-0.56% ❤️🡇,1.55492726895732e-25,2.65% 🟡🡅,1.5236261688244601e-25,0.58% ❤️🡅
Nb,1.542740425748534e-25,1.5571107724254617e-25,0.93% ❤️🡅,1.5394264952240779e-25,-0.21% ❤️🡇,1.5890256196197503e-25,3.00% 🟡🡅,1.5571107724254617e-25,0.93% ❤️🡅
Mo,1.593287234953306e-25,1.6073446510068633e-25,0.88% ❤️🡅,1.589281482771491e-25,-0.25% ❤️🡇,1.6404869923240091e-25,2.96% 🟡🡅,1.6073446510068633e-25,0.88% ❤️🡅
Tc,1.6273282858303698e-25,1.6408292546078647e-25,0.83% ❤️🡅,1.622315537178242e-25,-0.31% ❤️🡇,1.674585342986439e-25,2.90% 🟡🡅,1.6408292546078647e-25,0.83% ❤️🡅
Ru,1.6783068351926068e-25,1.6910631331892662e-25,0.76% ❤️🡅,1.6721705247256552e-25,-0.37% ❤️🡇,1.726046715690698e-25,2.84% 🟡🡅,1.6910631331892662e-25,0.76% ❤️🡅
Rh,1.7088607540286058e-25,1.7245477367902678e-25,0.92% ❤️🡅,1.7052045791324062e-25,-0.21% ❤️🡇,1.760145066353128e-25,3.00% 🟡🡅,1.7245477367902678e-25,0.92% ❤️🡅
Pd,1.7671456752864078e-25,1.7747816153716694e-25,0.43% ❤️🡅,1.7550595666798193e-25,-0.68% ❤️🡇,1.811606439057387e-25,2.52% 🟡🡅,1.7747816153716694e-25,0.43% ❤️🡅
Ag,1.7912234917604285e-25,1.8082662189726708e-25,0.95% ❤️🡅,1.7880936210865704e-25,-0.17% ❤️🡇,1.845704789719817e-25,3.04% 🟡🡅,1.8082662189726708e-25,0.95% ❤️🡅
Cd,1.866611965410121e-25,1.8752493725344723e-25,0.46% ❤️🡅,1.8547695417746456e-25,-0.63% ❤️🡇,1.9145291844659044e-25,2.57% 🟡🡅,1.8752493725344723e-25,0.46% ❤️🡅
In,1.9066309569290108e-25,1.9254832511158739e-25,0.99% ❤️🡅,1.9046245293220588e-25,-0.11% ❤️🡇,1.9659905571701632e-25,3.11% 🟡🡅,1.9254832511158739e-25,0.99% ❤️🡅
Sn,1.9712259266420733e-25,1.9924664046776754e-25,1.08% 🟢🡅,1.9713004500101338e-25,0.004% 🩷️,2.0348149519162506e-25,3.23% 🟡🡅,1.9924664046776754e-25,1.08% 🟢🡅
Sb,2.0218723681908758e-25,2.0427002832590767e-25,1.03% 🟢🡅,2.021155437557547e-25,-0.04% ❤️🡇,2.0862763246205095e-25,3.19% 🟡🡅,2.0427002832590767e-25,1.03% 🟢🡅
Te,2.118847849713828e-25,2.143181986781678e-25,1.15% 🟢🡅,2.121473224526946e-25,0.12% ❤️🡅,2.189826763450254e-25,3.35% 🟡🡅,2.143181986781678e-25,1.15% 🟢🡅
I,2.1072983023399147e-25,2.12641876544148e-25,0.91% ❤️🡅,2.104044479511711e-25,-0.15% ❤️🡇,2.1718360479871985e-25,3.06% 🟡🡅,2.12641876544148e-25,0.91% ❤️🡅
Xe,2.1801217412925434e-25,2.1934019190032814e-25,0.61% ❤️🡅,2.1707204001997866e-25,-0.43% ❤️🡇,2.2406604427332856e-25,2.78% 🟡🡅,2.1934019190032814e-25,0.61% ❤️🡅
Cs,2.2070224741807596e-25,2.226886522604283e-25,0.90% ❤️🡅,2.2037544546065374e-25,-0.15% ❤️🡇,2.2747587933957157e-25,3.07% 🟡🡅,2.226886522604283e-25,0.90% ❤️🡅
Ba,2.280418300949844e-25,2.2938696761660846e-25,0.59% ❤️🡅,2.2704303752946124e-25,-0.44% ❤️🡇,2.3435831881418033e-25,2.77% 🟡🡅,2.2938696761660846e-25,0.59% ❤️🡅
La,2.3066548182111905e-25,2.327354279767086e-25,0.90% ❤️🡅,2.3034644297013636e-25,-0.14% ❤️🡇,2.3776815388042334e-25,3.08% 🟡🡅,2.327354279767086e-25,0.90% ❤️🡅
Ce,2.326747340923994e-25,2.3440896083876873e-25,0.75% ❤️🡅,2.3196775509674526e-25,-0.30% ❤️🡇,2.3944168674248344e-25,2.91% 🟡🡅,2.3440896083876873e-25,0.75% ❤️🡅
Pr,2.3398655995546673e-25,2.3608249370082887e-25,0.90% ❤️🡅,2.335890672233542e-25,-0.17% ❤️🡇,2.4111521960454362e-25,3.05% 🟡🡅,2.3608249370082887e-25,0.90% ❤️🡅
Nd,2.3951615504915565e-25,2.4110588155896905e-25,0.66% ❤️🡅,2.385745659780955e-25,-0.39% ❤️🡇,2.462613568749695e-25,2.82% 🟡🡅,2.4110588155896905e-25,0.66% ❤️🡅
Pm,2.4077816474020777e-25,2.4277941442102915e-25,0.83% ❤️🡅,2.401958781047044e-25,-0.24% ❤️🡇,2.4793488973702965e-25,2.97% 🟡🡅,2.4277941442102915e-25,0.83% ❤️🡅
Sm,2.4967865414025964e-25,2.511526572752493e-25,0.59% ❤️🡅,2.4854556348757814e-25,-0.45% ❤️🡇,2.5655363141582124e-25,2.75% 🟡🡅,2.511526572752493e-25,0.59% ❤️🡅
Eu,2.5233551664773776e-25,2.545011176353495e-25,0.86% ❤️🡅,2.5184896892825326e-25,-0.19% ❤️🡇,2.5996346648206425e-25,3.02% 🟡🡅,2.545011176353495e-25,0.86% ❤️🡅
Gd,2.611197683130874e-25,2.6287436048956963e-25,0.67% ❤️🡅,2.6019865431112695e-25,-0.35% ❤️🡇,2.6858220816085584e-25,2.86% 🟡🡅,2.6287436048956963e-25,0.67% ❤️🡅
Tb,2.639094739459395e-25,2.662228208496698e-25,0.88% ❤️🡅,2.635020597518021e-25,-0.15% ❤️🡇,2.719920432270989e-25,3.06% 🟡🡅,2.662228208496698e-25,0.88% ❤️🡅
Dy,2.698375984157501e-25,2.7292113620584994e-25,1.14% 🟢🡅,2.701696518206096e-25,0.12% ❤️🡅,2.7887448270170765e-25,3.35% 🟡🡅,2.7292113620584994e-25,1.14% 🟢🡅
Ho,2.738727083489826e-25,2.762695965659501e-25,0.88% ❤️🡅,2.734730572612847e-25,-0.15% ❤️🡇,2.8228431776795067e-25,3.07% 🟡🡅,2.762695965659501e-25,0.88% ❤️🡅
Er,2.777417643754976e-25,2.796180569260502e-25,0.68% ❤️🡅,2.767764627019598e-25,-0.35% ❤️🡇,2.8569415283419364e-25,2.86% 🟡🡅,2.796180569260502e-25,0.68% ❤️🡅
Tm,2.8051486461767794e-25,2.829665172861504e-25,0.87% ❤️🡅,2.800798681426349e-25,-0.16% ❤️🡇,2.8910398790043665e-25,3.06% 🟡🡅,2.829665172861504e-25,0.87% ❤️🡅
Yb,2.873562855744342e-25,2.8966483264233053e-25,0.80% ❤️🡅,2.867474602114424e-25,-0.21% ❤️🡇,2.959864273750454e-25,3.00% 🟡🡅,2.8966483264233053e-25,0.80% ❤️🡅
Lu,2.9054452058340798e-25,2.930132930024307e-25,0.85% ❤️🡅,2.900508656521175e-25,-0.17% ❤️🡇,2.9939626244128837e-25,3.05% 🟡🡅,2.930132930024307e-25,0.85% ❤️🡅
Hf,2.9638961809985993e-25,2.980366808605709e-25,0.56% ❤️🡅,2.9503636440685885e-25,-0.46% ❤️🡇,3.045423997117143e-25,2.75% 🟡🡅,2.980366808605709e-25,0.56% ❤️🡅
Ta,3.0047454420510756e-25,3.0306006871871102e-25,0.86% ❤️🡅,3.0002186316160017e-25,-0.15% ❤️🡇,3.096885369821402e-25,3.07% 🟡🡅,3.0306006871871102e-25,0.86% ❤️🡅
W,3.0527350210924e-25,3.080834565768511e-25,0.92% ❤️🡅,3.0500736191634143e-25,-0.09% ❤️🡇,3.1483467425256603e-25,3.13% 🟡🡅,3.080834565768511e-25,0.92% ❤️🡅
Re,3.0920897969844204e-25,3.114319169369513e-25,0.72% ❤️🡅,3.0831076735701656e-25,-0.29% ❤️🡇,3.1824450931880905e-25,2.92% 🟡🡅,3.114319169369513e-25,0.72% ❤️🡅
Os,3.1588434674848085e-25,3.1813023229313147e-25,0.71% ❤️🡅,3.1497835942582406e-25,-0.29% ❤️🡇,3.251269487934178e-25,2.93% 🟡🡅,3.1813023229313147e-25,0.71% ❤️🡅
Ir,3.191888194921568e-25,3.2147869265323156e-25,0.72% ❤️🡅,3.182817648664992e-25,-0.28% ❤️🡇,3.2853678385966077e-25,2.93% 🟡🡅,3.2147869265323156e-25,0.72% ❤️🡅
Pt,3.23937961224274e-25,3.2650208051137174e-25,0.79% ❤️🡅,3.232672636212405e-25,-0.21% ❤️🡇,3.336829211300867e-25,3.01% 🟡🡅,3.2650208051137174e-25,0.79% ❤️🡅
Au,3.270763800612326e-25,3.298505408714719e-25,0.85% ❤️🡅,3.2657066906191563e-25,-0.15% ❤️🡇,3.370927561963297e-25,3.06% 🟡🡅,3.298505408714719e-25,0.85% ❤️🡅
Hg,3.3308753148440195e-25,3.3654885622765206e-25,1.04% 🟢🡅,3.332382611307231e-25,0.05% ❤️🡅,3.4397519567093843e-25,3.27% 🟡🡅,3.3654885622765206e-25,1.04% 🟢🡅
Tl,3.393809745489908e-25,3.415722440857922e-25,0.65% ❤️🡅,3.3822375988546444e-25,-0.34% ❤️🡇,3.4912133294136427e-25,2.87% 🟡🡅,3.415722440857922e-25,0.65% ❤️🡅
Pb,3.4406369471842102e-25,3.4659563194393237e-25,0.74% ❤️🡅,3.432092586402057e-25,-0.25% ❤️🡇,3.542674702117902e-25,2.97% 🟡🡅,3.4659563194393237e-25,0.74% ❤️🡅
Bi,3.470194542579905e-25,3.499440923040325e-25,0.84% ❤️🡅,3.465126640808809e-25,-0.15% ❤️🡇,3.5767730527803317e-25,3.07% 🟡🡅,3.499440923040325e-25,0.84% ❤️🡅
Po,3.4705266503933395e-25,3.4994269766805265e-25,0.83% ❤️🡅,3.4645188289342354e-25,-0.17% ❤️🡇,3.5761453593591053e-25,3.04% 🟡🡅,3.4994269766805265e-25,0.83% ❤️🡅
At,3.487132041065078e-25,3.5161623053011283e-25,0.83% ❤️🡅,3.480731950200325e-25,-0.18% ❤️🡇,3.5928806879797067e-25,3.03% 🟡🡅,3.5161623053011283e-25,0.83% ❤️🡅
Rn,3.68639672912594e-25,3.71713965870613e-25,0.83% ❤️🡅,3.681975336013696e-25,-0.12% ❤️🡇,3.8006092590604223e-25,3.10% 🟡🡅,3.71713965870613e-25,0.83% ❤️🡅
Fr,3.703002119797678e-25,3.7338749873267313e-25,0.83% ❤️🡅,3.6981884572797847e-25,-0.13% ❤️🡇,3.817344587681024e-25,3.09% 🟡🡅,3.7338749873267313e-25,0.83% ❤️🡅
Ra,3.7528182918128935e-25,3.7841088659081326e-25,0.83% ❤️🡅,3.7480434448271983e-25,-0.13% ❤️🡇,3.8688059603852835e-25,3.09% 🟡🡅,3.7841088659081326e-25,0.83% ❤️🡅
Ac,3.769423682484632e-25,3.800844194528734e-25,0.83% ❤️🡅,3.7642565660932868e-25,-0.14% ❤️🡇,3.8855412890058844e-25,3.08% 🟡🡅,3.800844194528734e-25,0.83% ❤️🡅
Th,3.853114851470194e-25,3.8845766230709357e-25,0.82% ❤️🡅,3.847753419922024e-25,-0.14% ❤️🡇,3.9717287057938007e-25,3.08% 🟡🡅,3.8845766230709357e-25,0.82% ❤️🡅
Pa,3.836509460798455e-25,3.867813401730737e-25,0.82% ❤️🡅,3.8303246749067897e-25,-0.16% ❤️🡇,3.9537379903307447e-25,3.06% 🟡🡅,3.867813401730737e-25,0.82% ❤️🡅
U,3.9525811415939075e-25,3.9850443802337384e-25,0.82% ❤️🡅,3.9474633950168504e-25,-0.13% ❤️🡇,4.0746514512023185e-25,3.09% 🟡🡅,3.9850443802337384e-25,0.82% ❤️🡅
H2O,2.991461129513685e-26,3.01347486049215e-26,0.74% ❤️🡅,2.966986777861872e-26,-0.82% ❤️🡇,3.0625746254064397e-26,2.38% 🟢🡅,3.01347486049215e-26,0.74% ❤️🡅
CO2,7.308032434632099e-26,7.366612792220331e-26,0.80% ❤️🡅,7.267491969485246e-26,-0.55% ❤️🡇,7.501637145734628e-26,2.65% 🟡🡅,7.366612792220331e-26,0.80% ❤️🡅
O2,5.313525750268249e-26,5.357536576160241e-26,0.83% ❤️🡅,5.285448705080179e-26,-0.53% ❤️🡇,5.45573610598882e-26,2.68% 🟡🡅,5.357536576160241e-26,0.83% ❤️🡅
N2,4.651734510436784e-26,4.687844504140211e-26,0.78% ❤️🡅,4.6247676169451563e-26,-0.58% ❤️🡇,4.7737690927402184e-26,2.62% 🟡🡅,4.687844504140211e-26,0.78% ❤️🡅
CH4,2.6635046637468497e-26,2.678489360884151e-26,0.56% ❤️🡅,2.630568115048632e-26,-1.24% 🟢🡇,2.715314184569868e-26,1.95% 🟢🡅,2.678489360884151e-26,0.56% ❤️🡅
C6H12O6,2.991627183420402e-25,3.0135306459313446e-25,0.73% ❤️🡅,2.9694180253601632e-25,-0.74% ❤️🡇,3.0650853990913487e-25,2.46% 🟢🡅,3.0135306459313446e-25,0.73% ❤️🡅
NH3,2.8279810583504195e-26,2.8459821106881504e-26,0.64% ❤️🡅,2.798777446455252e-26,-1.03% 🟢🡇,2.888944404988154e-26,2.16% 🟢🡅,2.8459821106881504e-26,0.64% ❤️🡅
HCl,6.054325438915844e-26,6.02722864818027e-26,-0.45% ❤️🡇,5.946129793215201e-26,-1.79% 🟢🡇,6.137703119237422e-26,1.38% 🟢🡅,6.02722864818027e-26,-0.45% ❤️🡇
C2H2,4.324043730920697e-26,4.3528590045322106e-26,0.67% ❤️🡅,4.2883489541319163e-26,-0.83% ❤️🡇,4.426508651903646e-26,2.37% 🟢🡅,4.3528590045322106e-26,0.67% ❤️🡅
NaCl,9.70419030856396e-26,9.710674507888422e-26,0.07% ❤️🡅,9.585953896703553e-26,-1.22% 🟢🡇,9.894798626317008e-26,1.96% 🟢🡅,9.710674507888422e-26,0.07% ❤️🡅
CaCO3,1.661982075623221e-25,1.674230180050075e-25,0.74% ❤️🡅,1.651702720337556e-25,-0.62% ❤️🡇,1.7049175331215063e-25,2.58% 🟡🡅,1.674230180050075e-25,0.74% ❤️🡅
C2H6,4.993240974991757e-26,5.022272149356271e-26,0.58% ❤️🡅,4.936873804775482e-26,-1.13% 🟢🡇,5.0959217967277055e-26,2.06% 🟢🡅,5.022272149356271e-26,0.58% ❤️🡅
C2H4,4.65781208342264e-26,4.687565576944241e-26,0.64% ❤️🡅,4.612611379453699e-26,-0.97% ❤️🡇,4.761215224315676e-26,2.22% 🟢🡅,4.687565576944241e-26,0.64% ❤️🡅
C8H18,1.8968337764326854e-25,1.9084968880188994e-25,0.61% ❤️🡅,1.877470794313658e-25,-1.02% 🟢🡇,1.9379567469674733e-25,2.17% 🟢🡅,1.9084968880188994e-25,0.61% ❤️🡅
C6H6,1.2970470653694916e-25,1.3058577013596634e-25,0.68% ❤️🡅,1.286504686239575e-25,-0.81% ❤️🡇,1.3279525955710938e-25,2.38% 🟢🡅,1.3058577013596634e-25,0.68% ❤️🡅
CH3COOH,9.971869206192385e-26,1.0045102153104482e-25,0.73% ❤️🡅,9.898060084533878e-26,-0.74% ❤️🡇,1.0216951330304495e-25,2.46% 🟢🡅,1.0045102153104482e-25,0.73% ❤️🡅
H2SO4,1.6286401116934371e-25,1.6407316300892754e-25,0.74% ❤️🡅,1.6180608540562321e-25,-0.65% ❤️🡇,1.670191489037849e-25,2.55% 🟡🡅,1.6407316300892754e-25,0.74% ❤️🡅
C12H22O11,5.684025226936077e-25,5.725713805813475e-25,0.73% ❤️🡅,5.6421373729341395e-25,-0.74% ❤️🡇,5.823913335642054e-25,2.46% 🟢🡅,5.725713805813475e-25,0.73% ❤️🡅
Caffeine,3.224600814544893e-25,6.6969207202003e-26,-79.23% 🔴🡇,6.606810881350224e-26,-79.51% 🔴🡇,6.819670132486026e-26,-78.85% 🔴🡇,6.6969207202003e-26,-79.23% 🔴🡇
