pair,x,y,speed_min,vx,vy
0-1,0.8819290422512649,0.47245409015025064,1.976277719159864e-10,1.5383260091957868e-10,6.830848446615475e-11
1-2,-0.8096397764929643,0.5976627712854756,3.060518721768164e-10,1.5222713023799251e-10,1.1579302646789811e-10
2-0,-0.13590381962560483,-1.0,3.503629077695895e-10,-2.641288789052116e-10,-2.0491413557553845e-10
