Name,Actual Mass (kg),VAM Master,% Diff Master,% Diff 0,% Diff,% Diff 1,% Diff 2,% Diff 3,% Diff 4,VAM Mass 0,VAM Mass 1,VAM Mass 2,VAM Mass 3,VAM Mass 4,R_x (m)
Cl,5.886610993131287e-26,5.912469669237942e-26,0.44% 🩷🡅,3.91% 🟡🡅,-30.46% 🔴🡇,-16.51% 🟠🡇,-30.46% 🔴🡇,-92.55% 🔴🡇,781049.26% 🔴🡅,6.116808188872328e-26,4.91451939854218e-26,4.093363301401623e-26,4.385315037301814e-27,4.598321836593366e-22,2.7214825429396328e-11
Ar,6.633521465546083e-26,6.765988299513374e-26,2.00% 🟢🡅,3.53% 🟡🡅,-30.99% 🔴🡇,-17.29% 🟠🡇,-30.99% 🔴🡇,-93.11% 🔴🡇,716227.32% 🔴🡅,6.86764516743896e-26,5.486405345321702e-26,4.5778401174546984e-26,4.572096651294126e-27,4.751772621864298e-22,2.9104743861993297e-11
K,6.492425461008321e-26,6.587825284335477e-26,1.47% 🟢🡅,5.65% 🟡🡅,-29.49% 🔴🡇,-15.50% 🟠🡇,-29.49% 🔴🡇,-92.96% 🔴🡇,792264.77% 🔴🡅,6.859103332175894e-26,5.486405345321702e-26,4.5778401174546984e-26,4.572096651294126e-27,5.144369220251947e-22,2.7137290314212862e-11
Ca,6.655108473419344e-26,6.753556150975358e-26,1.48% 🟢🡅,6.75% 🟡🡅,-28.78% 🔴🡇,-14.70% 🟠🡇,-28.78% 🔴🡇,-93.04% 🔴🡇,820594.00% 🔴🡅,7.104460518040305e-26,5.677121681298777e-26,4.739617202763123e-26,4.6316868213136475e-27,5.461807611338274e-22,2.6458858056357542e-11
Sc,7.464953376480028e-26,7.607074781250788e-26,1.90% 🟢🡅,5.29% 🟡🡅,-30.00% 🔴🡇,-16.28% 🟠🡇,-30.00% 🔴🡇,-93.57% 🔴🡇,751070.91% 🔴🡅,7.860125863579108e-26,6.249509514617661e-26,5.225740778903207e-26,4.8034114067428494e-27,5.607455814307296e-22,2.8222781926781375e-11
Ti,7.948502352841052e-26,8.116699529708444e-26,2.12% 🟢🡅,5.21% 🟡🡅,-30.17% 🔴🡇,-16.57% 🟠🡇,-30.17% 🔴🡇,-93.82% 🔴🡇,734767.97% 🔴🡅,8.362776449393571e-26,6.631285700241387e-26,5.550445022115216e-26,4.912590730368791e-27,5.841099806570099e-22,2.8663762894387333e-11
V,8.45911811599701e-26,8.6263242781661e-26,1.98% 🟢🡅,4.82% 🟡🡅,-30.54% 🔴🡇,-17.09% 🟠🡇,-30.54% 🔴🡇,-94.07% 🔴🡇,718156.28% 🔴🡅,8.866745624579421e-26,7.013197297953689e-26,5.875614927317111e-26,5.017978888105194e-27,6.075814741501793e-22,2.9052863748157296e-11
Cr,8.634138933677134e-26,8.792055144805979e-26,1.83% 🟢🡅,5.57% 🟡🡅,-30.06% 🔴🡇,-16.56% 🟠🡇,-30.06% 🔴🡇,-94.13% 🔴🡇,739535.25% 🔴🡅,9.114971939734427e-26,7.204201042973787e-26,6.038366897477752e-26,5.069355071438859e-27,6.38611351479552e-22,2.8494154829923505e-11
Mn,9.122669527239679e-26,9.301679893263636e-26,1.96% 🟢🡅,5.46% 🟡🡅,-30.24% 🔴🡇,-16.84% 🟠🡇,-30.24% 🔴🡇,-94.33% 🔴🡇,725605.65% 🔴🡅,9.62080898092233e-26,7.586299324491398e-26,6.364191020427041e-26,5.169654713477235e-27,6.620372862228212e-22,2.886420878875368e-11
Fe,9.273280420632346e-26,9.467410759903516e-26,2.09% 🟢🡅,6.43% 🟡🡅,-29.61% 🔴🡇,-16.13% 🟠🡇,-29.61% 🔴🡇,-94.37% 🔴🡇,747347.90% 🔴🡅,9.869923885518181e-26,7.777391989764688e-26,6.527258042349306e-26,5.218644211008239e-27,6.931293944865e-22,2.8348776488954508e-11
Co,9.786054884575631e-26,9.977035508361171e-26,1.95% 🟢🡅,6.04% 🟡🡅,-29.96% 🔴🡇,-16.62% 🟠🡇,-29.96% 🔴🡇,-94.57% 🔴🡇,732079.73% 🔴🡅,1.0377490018219845e-25,8.159660062247035e-26,6.853690088063597e-26,5.314452171690046e-27,7.165151001992922e-22,2.8701134162828517e-11
Ni,9.746201946963458e-26,9.970819434092164e-26,2.30% 🟢🡅,7.72% 🟡🡅,-28.84% 🔴🡇,-15.30% 🟠🡇,-28.84% 🔴🡇,-94.52% 🔴🡇,771167.46% 🔴🡅,1.0498158506803793e-25,8.255243734902117e-26,6.93535855538755e-26,5.3379718399894456e-27,7.516928441367252e-22,2.7804223720240126e-11
Cu,1.0552061556262928e-25,1.0824338064367595e-25,2.58% 🟡🡅,6.77% 🟡🡅,-29.63% 🔴🡇,-16.33% 🟠🡇,-29.63% 🔴🡇,-94.81% 🔴🡇,726974.31% 🔴🡅,1.1266175684300543e-25,8.828878582301412e-26,7.425857229586039e-26,5.4756972209362836e-27,7.672132879051732e-22,2.8939375999141058e-11
Zn,1.0856604421182608e-25,1.0990068931007475e-25,1.23% 🟢🡅,6.08% 🟡🡅,-30.09% 🔴🡇,-16.92% 🟠🡇,-30.09% 🔴🡇,-94.92% 🔴🡇,735179.80% 🔴🡅,1.1517026839573395e-25,9.020138755617787e-26,7.589536852214167e-26,5.520380874427293e-27,7.982641893494402e-22,2.8494154829923505e-11
Ga,1.1577776538056212e-25,1.1843587561282907e-25,2.30% 🟢🡅,6.13% 🟡🡅,-30.20% 🔴🡇,-17.13% 🟠🡇,-30.20% 🔴🡇,-95.12% 🔴🡇,703255.69% 🔴🡅,1.2287957504594757e-25,9.594056248979201e-26,8.081090938341258e-26,5.6510413626409165e-27,8.143295062428637e-22,2.948272754851269e-11
Ge,1.2060495244883648e-25,1.2353212309740564e-25,2.43% 🟢🡅,6.13% 🟡🡅,-30.27% 🔴🡇,-17.28% 🟠🡇,-30.27% 🔴🡇,-95.24% 🔴🡇,694710.57% 🔴🡅,1.280024027417225e-25,9.976776451996887e-26,8.409206731185128e-26,5.735502326417207e-27,8.379759622875162e-22,2.97209090496071e-11
As,1.2441090799079895e-25,1.269089011728933e-25,2.01% 🟢🡅,5.96% 🟡🡅,-30.43% 🔴🡇,-17.50% 🟠🡇,-30.43% 🔴🡇,-95.34% 🔴🡇,695297.49% 🔴🡅,1.3182941732954457e-25,1.0263870653040759e-25,8.655501828844086e-26,5.797551387627615e-27,8.651503256359828e-22,2.963392102312044e-11
Se,1.3113443067378584e-25,1.337246180665587e-25,1.98% 🟢🡅,5.44% 🟡🡅,-30.86% 🔴🡇,-18.08% 🟠🡇,-30.86% 🔴🡇,-95.50% 🔴🡇,675094.16% 🔴🡅,1.3827417182287834e-25,1.0742459247044824e-25,9.066376419945636e-26,5.898641874413495e-27,8.854120186819258e-22,3.014300284901492e-11
Br,1.3268371362345906e-25,1.3538192673295752e-25,2.03% 🟢🡅,6.12% 🟡🡅,-30.43% 🔴🡇,-17.59% 🟠🡇,-30.43% 🔴🡇,-95.52% 🔴🡇,690256.51% 🔴🡅,1.4080564830888094e-25,1.0933927801378351e-25,9.230856413939913e-26,5.9383033639716516e-27,9.159906514848566e-22,2.976621531340223e-11
Kr,1.3914985275103401e-25,1.4219764362662296e-25,2.19% 🟢🡅,5.83% 🟡🡅,-30.71% 🔴🡇,-17.98% 🟠🡇,-30.71% 🔴🡇,-95.66% 🔴🡇,672778.81% 🔴🡅,1.472682063368545e-25,1.141267842905322e-25,9.642371086563427e-26,6.035627281675972e-27,9.363098762294186e-22,3.023869492155147e-11
Rb,1.4192295299321434e-25,1.4385495229302175e-25,1.36% 🟢🡅,5.55% 🟡🡅,-30.90% 🔴🡇,-18.24% 🟠🡇,-30.90% 🔴🡇,-95.72% 🔴🡇,681147.83% 🔴🡅,1.4980666213090644e-25,1.1604209380999254e-25,9.807099803552559e-26,6.073854557899342e-27,9.668470414737634e-22,2.988294556953322e-11
Sr,1.4549643306577245e-25,1.489511997775983e-25,2.37% 🟢🡅,6.51% 🟡🡅,-30.33% 🔴🡇,-17.61% 🟠🡇,-30.33% 🔴🡇,-95.77% 🔴🡇,680723.07% 🔴🡅,1.5497257984184897e-25,1.198732195032218e-25,1.0136761819728568e-25,6.149162994923371e-27,9.905732895108962e-22,3.006688415495175e-11
Y,1.4763188630615803e-25,1.5060850844399711e-25,2.02% 🟢🡅,6.70% 🟡🡅,-30.22% 🔴🡇,-17.50% 🟠🡇,-30.22% 🔴🡇,-95.81% 🔴🡇,691602.82% 🔴🡅,1.5751659545689509e-25,1.2178902894229286e-25,1.0301693042816193e-25,6.186263758115665e-27,1.0211739174457177e-21,2.9729053995907343e-11
Zr,1.51481015863867e-25,1.539852865194848e-25,1.65% 🟢🡅,6.53% 🟡🡅,-30.36% 🔴🡇,-17.70% 🟠🡇,-30.36% 🔴🡇,-95.88% 🔴🡇,691964.91% 🔴🡅,1.613777361981883e-25,1.2466304231920252e-25,1.0549212348912334e-25,6.241249111608683e-27,1.0483469554363575e-21,2.965718155767548e-11
Nb,1.542740425748534e-25,1.5736206459497248e-25,2.00% 🟢🡅,7.11% 🟡🡅,-30.01% 🔴🡇,-17.33% 🟠🡇,-30.01% 🔴🡇,-95.92% 🔴🡇,697052.82% 🔴🡅,1.6524286719148996e-25,1.2753740562057043e-25,1.0796875770257083e-25,6.295461626275018e-27,1.0755258428922035e-21,2.9588400407109506e-11
Mo,1.593287234953306e-25,1.6245831207954904e-25,1.96% 🟢🡅,6.97% 🟡🡅,-30.16% 🔴🡇,-17.55% 🟠🡇,-30.16% 🔴🡇,-96.00% 🔴🡇,689787.40% 🔴🡅,1.7043035034377478e-25,1.3137041745582274e-25,1.1127312542944246e-25,6.3665906175603664e-27,1.0991887817818278e-21,2.9766215313402226e-11
Tc,1.6273282858303698e-25,1.658350901550367e-25,1.91% 🟢🡅,7.11% 🟡🡅,-30.10% 🔴🡇,-17.51% 🟠🡇,-30.10% 🔴🡇,-96.06% 🔴🡇,692051.98% 🔴🡅,1.7430447596875876e-25,1.3424555989790563e-25,1.1375300487521355e-25,6.419105262982626e-27,1.1263584880116993e-21,2.969871822652377e-11
Ru,1.6783068351926068e-25,1.7093133763961325e-25,1.85% 🟢🡅,6.96% 🟡🡅,-30.25% 🔴🡇,-17.73% 🟠🡇,-30.25% 🔴🡇,-96.13% 🔴🡇,685140.60% 🔴🡅,1.7950361296874627e-25,1.38079577924595e-25,1.170615960593302e-25,6.488061537178106e-27,1.1500439788890492e-21,2.9864453647769893e-11
Rh,1.7088607540286058e-25,1.7430811571510093e-25,2.00% 🟢🡅,7.31% 🟡🡅,-30.04% 🔴🡇,-17.51% 🟠🡇,-30.04% 🔴🡇,-96.17% 🔴🡇,688783.01% 🔴🡅,1.833862925259545e-25,1.4095545177774227e-25,1.1954456899663563e-25,6.539010827880589e-27,1.177205135647667e-21,2.9798325578033734e-11
Pd,1.7671456752864078e-25,1.794043631996775e-25,1.52% 🟢🡅,6.72% 🟡🡅,-30.48% 🔴🡇,-18.07% 🟠🡇,-30.48% 🔴🡇,-96.26% 🔴🡇,679476.49% 🔴🡅,1.8859652782289098e-25,1.447904157559462e-25,1.2285719085742873e-25,6.605959977449623e-27,1.2009106546690943e-21,2.995342421474438e-11
Ag,1.7912234917604285e-25,1.827811412751652e-25,2.04% 🟢🡅,7.46% 🟡🡅,-30.02% 🔴🡇,-17.56% 🟠🡇,-30.02% 🔴🡇,-96.28% 🔴🡇,685500.57% 🔴🡅,1.9248736176401887e-25,1.476669782063471e-25,1.2534311937967631e-25,6.655460462013224e-27,1.228063841006152e-21,2.988871002662611e-11
Cd,1.866611965410121e-25,1.895968581688306e-25,1.57% 🟢🡅,6.63% 🟡🡅,-30.63% 🔴🡇,-18.32% 🟠🡇,-30.63% 🔴🡇,-96.39% 🔴🡇,668712.37% 🔴🡅,1.9903511090257988e-25,1.5246187464720536e-25,1.2948905033135873e-25,6.736662090779786e-27,1.2484131683058913e-21,3.0238694921551477e-11
In,1.9066309569290108e-25,1.9469310565340716e-25,2.11% 🟢🡅,7.13% 🟡🡅,-30.34% 🔴🡇,-18.02% 🟠🡇,-30.34% 🔴🡇,-96.43% 🔴🡇,667153.09% 🔴🡅,2.0426315763305148e-25,1.562983371420519e-25,1.3280818173544544e-25,6.800501110821705e-27,1.2722053902815758e-21,3.037016750816691e-11
Sn,1.9712259266420733e-25,2.015088225470726e-25,2.23% 🟢🡅,6.95% 🟡🡅,-30.52% 🔴🡇,-18.28% 🟠🡇,-30.52% 🔴🡇,-96.51% 🔴🡇,655725.79% 🔴🡅,2.1082681747899397e-25,1.6109457249467089e-25,1.3695999838002975e-25,6.878960945295378e-27,1.2927807931598996e-21,3.068338161157429e-11
Sb,2.0218723681908758e-25,2.0660507003164914e-25,2.19% 🟢🡅,6.86% 🟡🡅,-30.62% 🔴🡇,-18.43% 🟠🡇,-30.62% 🔴🡇,-96.57% 🔴🡇,651105.19% 🔴🡅,2.1606735445940495e-25,1.6493206948028752e-25,1.4028371663103852e-25,6.940701846670091e-27,1.3166537856513004e-21,3.0796375770514515e-11
Te,2.118847849713828e-25,2.1685972574349233e-25,2.35% 🟢🡅,6.34% 🟡🡅,-31.05% 🔴🡇,-18.99% 🟠🡇,-31.05% 🔴🡇,-96.67% 🔴🡇,628220.53% 🔴🡅,2.2531264723026164e-25,1.7164873514807513e-25,1.4610492641120907e-25,7.046659535760057e-27,1.3313156052637046e-21,3.1419893941924577e-11
I,2.1072983023399147e-25,2.150780955917134e-25,2.06% 🟢🡅,6.88% 🟡🡅,-30.67% 🔴🡇,-18.55% 🟠🡇,-30.67% 🔴🡇,-96.66% 🔴🡇,648883.69% 🔴🡅,2.252305248284201e-25,1.7164873514807513e-25,1.4610492641120907e-25,7.046659535760057e-27,1.3676022207917885e-21,3.083394482158201e-11
Xe,2.1801217412925434e-25,2.2189381248537883e-25,1.78% 🟢🡅,6.33% 🟡🡅,-31.07% 🔴🡇,-19.07% 🟠🡇,-31.07% 🔴🡇,-96.73% 🔴🡇,636737.44% 🔴🡅,2.3182064189607298e-25,1.7644713781225777e-25,1.5026649390384544e-25,7.120793434905154e-27,1.3883831561646144e-21,3.1104306417397404e-11
Cs,2.2070224741807596e-25,2.252705905608665e-25,2.07% 🟢🡅,6.82% 🟡🡅,-30.78% 🔴🡇,-18.75% 🟠🡇,-30.78% 🔴🡇,-96.75% 🔴🡇,641223.69% 🔴🡅,2.3574559433132343e-25,1.7932648229549612e-25,1.5276482155654142e-25,7.16468082996872e-27,1.4154158070485654e-21,3.103445005106599e-11
Ba,2.280418300949844e-25,2.3208630745453187e-25,1.77% 🟢🡅,6.27% 🟡🡅,-31.18% 🔴🡇,-19.26% 🟠🡇,-31.18% 🔴🡇,-96.83% 🔴🡇,629732.98% 🔴🡅,2.423480930222163e-25,1.8412587983105068e-25,1.5693096216729268e-25,7.236874720708083e-27,1.436282643876985e-21,3.1287116825765854e-11
La,2.3066548182111905e-25,2.354630855300196e-25,2.08% 🟢🡅,6.77% 🟡🡅,-30.88% 🔴🡇,-18.93% 🟠🡇,-30.88% 🔴🡇,-96.84% 🔴🡇,634278.80% 🔴🡅,2.462804004910226e-25,1.8700580525131605e-25,1.5943197853367683e-25,7.279637508623801e-27,1.4632929168794054e-21,3.121764547656573e-11
Ce,2.326747340923994e-25,2.371203941964184e-25,1.91% 🟢🡅,6.96% 🟡🡅,-30.76% 🔴🡇,-18.80% 🟠🡇,-30.76% 🔴🡇,-96.86% 🔴🡇,641746.33% 🔴🡅,2.488760296526018e-25,1.8892587246879866e-25,1.61099868720951e-25,7.30792173549918e-27,1.4934142525859224e-21,3.099466229459026e-11
Pr,2.3398655995546673e-25,2.3877770286281726e-25,2.05% 🟢🡅,7.47% 🟡🡅,-30.44% 🔴🡇,-18.44% 🟠🡇,-30.44% 🔴🡇,-96.86% 🔴🡇,651059.12% 🔴🡅,2.514727331868738e-25,1.9084603182725888e-25,1.6276819074100693e-25,7.336029936617679e-27,1.523624818292946e-21,3.077484199462862e-11
Nd,2.3951615504915565e-25,2.438739503473938e-25,1.82% 🟢🡅,7.20% 🟡🡅,-30.65% 🔴🡇,-18.72% 🟠🡇,-30.65% 🔴🡇,-96.91% 🔴🡇,645999.28% 🔴🡅,2.5675202078852283e-25,1.9468662228382468e-25,1.6610611385535138e-25,7.391729546076023e-27,1.5475121565458442e-21,3.0868667732417126e-11
Pm,2.4077816474020777e-25,2.4553125901379257e-25,1.97% 🟢🡅,7.71% 🟡🡅,-30.32% 🔴🡇,-18.35% 🟠🡇,-30.32% 🔴🡇,-96.92% 🔴🡇,655180.28% 🔴🡅,2.593521248922062e-25,1.966070511044149e-25,1.6777570693443684e-25,7.419326415805184e-27,1.5777718263006153e-21,3.0655780368745285e-11
Sm,2.4967865414025964e-25,2.540664453165469e-25,1.76% 🟢🡅,7.07% 🟡🡅,-30.80% 🔴🡇,-18.95% 🟠🡇,-30.80% 🔴🡇,-97.00% 🔴🡇,638854.63% 🔴🡅,2.6732414367452717e-25,2.023688587824655e-25,1.7278696574669194e-25,7.501136618130862e-27,1.5953333165206726e-21,3.1045060119459515e-11
Eu,2.5233551664773776e-25,2.5744322339203453e-25,2.02% 🟢🡅,7.50% 🟡🡅,-30.53% 🔴🡇,-18.66% 🟠🡇,-30.53% 🔴🡇,-97.01% 🔴🡇,642842.57% 🔴🡅,2.7127268384018416e-25,2.0525004929199776e-25,1.7529396676133627e-25,7.541505649613765e-27,1.6223724582363362e-21,3.098471535547133e-11
Gd,2.611197683130874e-25,2.6597840969478887e-25,1.86% 🟢🡅,6.95% 🟡🡅,-30.95% 🔴🡇,-19.19% 🟠🡇,-30.95% 🔴🡇,-97.08% 🔴🡇,628027.76% 🔴🡅,2.79259156614782e-25,2.110129866653841e-25,1.8031065128512849e-25,7.621211450507097e-27,1.6401657506320286e-21,3.134616304765925e-11
Tb,2.639094739459395e-25,2.693551877702766e-25,2.06% 🟢🡅,7.32% 🟡🡅,-30.73% 🔴🡇,-18.95% 🟠🡇,-30.73% 🔴🡇,-97.10% 🔴🡇,631619.69% 🔴🡅,2.8321494407122378e-25,2.13894727044761e-25,1.8282031147532867e-25,7.660563320738418e-27,1.6671681094567142e-21,3.128468751317747e-11
Dy,2.698375984157501e-25,2.761709046639419e-25,2.35% 🟢🡅,7.42% 🟡🡅,-30.70% 🔴🡇,-18.95% 🟠🡇,-30.70% 🔴🡇,-97.14% 🔴🡇,625511.17% 🔴🡅,2.898676765240551e-25,2.186980194500758e-25,1.8700499212874304e-25,7.72543231890337e-27,1.6881341561915475e-21,3.14909108155421e-11
Ho,2.738727083489826e-25,2.7954768273942967e-25,2.07% 🟢🡅,7.29% 🟡🡅,-30.80% 🔴🡇,-19.09% 🟠🡇,-30.80% 🔴🡇,-97.17% 🔴🡇,626146.38% 🔴🡅,2.938296494969311e-25,2.215802251069186e-25,1.8951693108841527e-25,7.763934377132141e-27,1.7151179295079218e-21,3.142991623664289e-11
Er,2.777417643754976e-25,2.829244608149173e-25,1.87% 🟢🡅,7.22% 🟡🡅,-30.86% 🔴🡇,-19.18% 🟠🡇,-30.86% 🔴🡇,-97.19% 🔴🡇,627140.74% 🔴🡅,2.977938702655085e-25,2.244625999091623e-25,1.9202970513793893e-25,7.802129949029007e-27,1.7421094935965196e-21,3.137038260574128e-11
Tm,2.8051486461767794e-25,2.8630123889040503e-25,2.06% 🟢🡅,7.57% 🟡🡅,-30.65% 🔴🡇,-18.95% 🟠🡇,-30.65% 🔴🡇,-97.21% 🔴🡇,630564.82% 🔴🡅,3.0176031034103834e-25,2.2734514107681078e-25,1.9454330408053589e-25,7.840025340734746e-27,1.769108571861876e-21,3.1312258054860994e-11
Yb,2.873562855744342e-25,2.9311695578407047e-25,2.00% 🟢🡅,7.33% 🟡🡅,-30.84% 🔴🡇,-19.21% 🟠🡇,-30.84% 🔴🡇,-97.25% 🔴🡇,622849.23% 🔴🡅,3.084304767655289e-25,2.3214973875339183e-25,1.987344418426088e-25,7.902533734638171e-27,1.790083766259423e-21,3.150592346595175e-11
Lu,2.9054452058340798e-25,2.964937338595581e-25,2.05% 🟢🡅,7.52% 🟡🡅,-30.73% 🔴🡇,-19.11% 🟠🡇,-30.73% 🔴🡇,-97.27% 🔴🡇,625299.98% 🔴🡅,3.124027421846575e-25,2.35032710556851e-25,2.0125019252627703e-25,7.939657928514758e-27,1.8170653664692245e-21,3.1448242718413534e-11
Hf,2.9638961809985993e-25,3.015899813441347e-25,1.75% 🟢🡅,7.20% 🟡🡅,-30.97% 🔴🡇,-19.40% 🟠🡇,-30.97% 🔴🡇,-97.30% 🔴🡇,621061.68% 🔴🡅,3.177296477041579e-25,2.3887691647834926e-25,2.0460575342827996e-25,7.988724164242782e-27,1.8410587453949232e-21,3.151279723566178e-11
Ta,3.0047454420510756e-25,3.0668622882871117e-25,2.07% 🟢🡅,7.52% 🟡🡅,-30.79% 🔴🡇,-19.22% 🟠🡇,-30.79% 🔴🡇,-97.33% 🔴🡇,620605.31% 🔴🡅,3.2306026563838103e-25,2.42721395438442e-25,2.0796269656091045e-25,8.037307570554693e-27,1.865061449897501e-21,3.1575211824161485e-11
W,3.0527350210924e-25,3.117824763132878e-25,2.13% 🟢🡅,7.57% 🟡🡅,-30.78% 🔴🡇,-19.23% 🟠🡇,-30.78% 🔴🡇,-97.35% 🔴🡇,618713.30% 🔴🡅,3.283945378625231e-25,2.4656614188166097e-25,2.113210010907495e-25,8.085420391691986e-27,1.889073023834607e-21,3.1635591154340536e-11
