Name,Actual Mass (kg),VAM Master,% Diff Master,% Diff 0,% Diff,% Diff 1,% Diff 2,% Diff 3,% Diff 4,VAM Mass 0,VAM Mass 1,VAM Mass 2,VAM Mass 3,VAM Mass 4,R_x (m)
Re,3.0920897969844204e-25,3.151592543887755e-25,1.92% 🟢🡅,7.49% 🟡🡅,-30.84% 🔴🡇,-19.33% 🟠🡇,-30.84% 🔴🡇,-97.37% 🔴🡇,619557.73% 🔴🡅,3.323772135851282e-25,2.4944987401690827e-25,2.1384061072849433e-25,8.121203271945722e-27,1.9160373475259268e-21,3.157992735758803e-11
Os,3.1588434674848085e-25,3.2197497128244083e-25,1.93% 🟢🡅,7.34% 🟡🡅,-30.97% 🔴🡇,-19.51% 🟠🡇,-30.97% 🔴🡇,-97.41% 🔴🡇,613137.45% 🔴🡅,3.390738215312524e-25,2.542564159500511e-25,2.180416141294849e-25,8.180280809257148e-27,1.9371210994879745e-21,3.175062966762904e-11
Ir,3.191888194921568e-25,3.253517493579286e-25,1.93% 🟢🡅,7.48% 🟡🡅,-30.90% 🔴🡇,-19.44% 🟠🡇,-30.90% 🔴🡇,-97.43% 🔴🡇,615231.64% 🔴🡅,3.4306181370628145e-25,2.5714053067908504e-25,2.205631954434943e-25,8.215398463149832e-27,1.9640698099591955e-21,3.16955070466783e-11
Pt,3.23937961224274e-25,3.3044799684250515e-25,2.01% 🟢🡅,7.55% 🟡🡅,-30.87% 🔴🡇,-19.43% 🟠🡇,-30.87% 🔴🡇,-97.45% 🔴🡇,613628.00% 🔴🡅,3.484093163397785e-25,2.6098623388784544e-25,2.239264300915435e-25,8.261847507547007e-27,1.9880979705271317e-21,3.175062966762905e-11
Au,3.270763800612326e-25,3.338247749179928e-25,2.06% 🟢🡅,7.74% 🟡🡅,-30.77% 🔴🡇,-19.32% 🟠🡇,-30.77% 🔴🡇,-97.46% 🔴🡇,615978.29% 🔴🡅,3.5240181653925593e-25,2.638706713912086e-25,2.2644969086206287e-25,8.296408955325495e-27,2.015046584731298e-21,3.169690609797147e-11
Hg,3.3308753148440195e-25,3.4064049181165824e-25,2.27% 🟢🡅,7.81% 🟡🡅,-30.75% 🔴🡇,-19.34% 🟠🡇,-30.75% 🔴🡇,-97.49% 🔴🡇,611203.69% 🔴🡅,3.5911447518381996e-25,2.686783664566147e-25,2.3065669354177113e-25,8.353499124833667e-27,2.0361763698654138e-21,3.185593855541554e-11
Tl,3.393809745489908e-25,3.4573673929623477e-25,1.87% 🟢🡅,7.39% 🟡🡅,-31.04% 🔴🡇,-19.70% 🟠🡇,-31.04% 🔴🡇,-97.53% 🔴🡇,606954.05% 🔴🡅,3.644720350546205e-25,2.7252478682933037e-25,2.3402368768821834e-25,8.398720818256352e-27,2.060225959276864e-21,3.190627000913703e-11
Pb,3.4406369471842102e-25,3.5083298678081134e-25,1.97% 🟢🡅,7.49% 🟡🡅,-31.00% 🔴🡇,-19.67% 🟠🡇,-31.00% 🔴🡇,-97.55% 🔴🡇,605683.79% 🔴🡅,3.6983285324079667e-25,2.763714375057961e-25,2.3739190113776e-25,8.443551931060784e-27,2.0842820736472526e-21,3.195514258014196e-11
Bi,3.470194542579905e-25,3.5420976485629904e-25,2.07% 🟢🡅,7.73% 🟡🡅,-30.86% 🔴🡇,-19.53% 🟠🡇,-30.86% 🔴🡇,-97.56% 🔴🡇,608281.47% 🔴🡅,3.738352725830699e-25,2.792565741495311e-25,2.399188516501498e-25,8.476924198712148e-27,2.1112020616968807e-21,3.1902546555990907e-11
Po,3.4705266503933395e-25,3.5414760411360897e-25,2.04% 🟢🡅,8.09% 🟡🡅,-30.63% 🔴🡇,-19.26% 🟠🡇,-30.63% 🔴🡇,-97.55% 🔴🡇,617660.85% 🔴🡅,3.7511553036588863e-25,2.8021831433745413e-25,2.407613177223718e-25,8.488001173526509e-27,2.1439554853310623e-21,3.1649351742054475e-11
At,3.487132041065078e-25,3.558049127800077e-25,2.03% 🟢🡅,8.33% 🟡🡅,-30.47% 🔴🡇,-19.09% 🟠🡇,-30.47% 🔴🡇,-97.56% 🔴🡇,623302.30% 🔴🡅,3.777579557397949e-25,2.821418362999756e-25,2.424464722559749e-25,8.510085230152666e-27,2.173886124671543e-21,3.149864054328278e-11
Rn,3.68639672912594e-25,3.7637638494638416e-25,2.10% 🟢🡅,7.26% 🟡🡅,-31.26% 🔴🡇,-20.07% 🟠🡇,-31.26% 🔴🡇,-97.65% 🔴🡇,589163.13% 🔴🡅,3.9540052144873826e-25,2.9464604941029707e-25,2.5340708147359775e-25,8.651424790617363e-27,2.1722576577947183e-21,3.241806032130292e-11
Fr,3.703002119797678e-25,3.78033693612783e-25,2.09% 🟢🡅,7.49% 🟡🡅,-31.11% 🔴🡇,-19.91% 🟠🡇,-31.11% 🔴🡇,-97.66% 🔴🡇,594516.92% 🔴🡅,3.98049102914219e-25,2.9656997270262123e-25,2.550944025730795e-25,8.672840001140175e-27,2.2018677321045327e-21,3.22726878534944e-11
Ra,3.7528182918128935e-25,3.8312994109735952e-25,2.09% 🟢🡅,7.50% 🟡🡅,-31.13% 🔴🡇,-19.95% 🟠🡇,-31.13% 🔴🡇,-97.68% 🔴🡇,593045.84% 🔴🡅,4.0342930369929486e-25,3.00417973603767e-25,2.584698867271099e-25,8.715415644429172e-27,2.2259685533406968e-21,3.2312587714843724e-11
Ac,3.769423682484632e-25,3.847872497637583e-25,2.08% 🟢🡅,7.73% 🟡🡅,-30.98% 🔴🡇,-19.79% 🟠🡇,-30.98% 🔴🡇,-97.68% 🔴🡇,598299.77% 🔴🡅,4.0608007235946838e-25,3.023420503532495e-25,2.6015804634710494e-25,8.736577826845874e-27,2.255622279901287e-21,3.217024151345674e-11
Th,3.853114851470194e-25,3.933224360665126e-25,2.08% 🟢🡅,7.50% 🟡🡅,-31.17% 🔴🡇,-20.03% 🟠🡇,-31.17% 🔴🡇,-97.72% 🔴🡇,590119.54% 🔴🡅,4.141985448977543e-25,3.0811458076895476e-25,2.652241752138709e-25,8.799572013748788e-27,2.274183686445161e-21,3.238929175864458e-11
Pa,3.836509460798455e-25,3.915408059147337e-25,2.06% 🟢🡅,7.94% 🟡🡅,-30.87% 🔴🡇,-19.69% 🟠🡇,-30.87% 🔴🡇,-97.71% 🔴🡇,601855.18% 🔴🡅,4.141176348145574e-25,3.0811458076895476e-25,2.652241752138709e-25,8.799572013748788e-27,2.3094067334406078e-21,3.20713430986152e-11
U,3.9525811415939075e-25,4.0351493103566575e-25,2.09% 🟢🡅,7.52% 🟡🡅,-31.19% 🔴🡇,-20.10% 🟠🡇,-31.19% 🔴🡇,-97.75% 🔴🡇,587469.39% 🔴🡅,4.249793295738553e-25,3.158119732788734e-25,2.719828028693738e-25,8.882445870844807e-27,2.3224156733925775e-21,3.246212837166555e-11
H2O,2.991461129513685e-26,3.032884193669904e-26,1.38% 🟢🡅,6.48% 🟡🡅,-27.41% 🔴🡇,-12.01% 🟠🡇,-27.41% 🔴🡇,-88.43% 🔴🡇,946610.74% 🔴🡅,3.185357758155231e-26,2.632202192453305e-26,2.1713974615761022e-26,3.461872163016931e-27,2.8320483910642905e-22,2.3518984938984475e-11
CO2,7.308032434632099e-26,7.428911766072894e-26,1.65% 🟢🡅,7.44% 🟡🡅,-28.49% 🔴🡇,-14.48% 🟠🡇,-28.49% 🔴🡇,-93.43% 🔴🡇,822007.51% 🔴🡅,7.851498078905618e-26,6.249509514617661e-26,5.225740778903207e-26,4.8034114067428494e-27,6.007988372472101e-22,2.645885805635754e-11
O2,5.313525750268249e-26,5.402844920780287e-26,1.68% 🟢🡅,5.79% 🟡🡅,-29.03% 🔴🡇,-14.68% 🟠🡇,-29.03% 🔴🡇,-92.00% 🔴🡇,822225.19% 🔴🡅,5.621263446901114e-26,4.5335019131580235e-26,3.771142606758568e-26,4.253269042668862e-27,4.369446089070619e-22,2.645885805635754e-11
N2,4.651734510436784e-26,4.7274893056827507e-26,1.63% 🟢🡅,5.04% 🟡🡅,-29.29% 🔴🡇,-14.82% 🟠🡇,-29.29% 🔴🡇,-91.31% 🔴🡇,821801.02% 🔴🡅,4.885982075191758e-26,3.962385320315301e-26,3.289080371621134e-26,4.0417728515422256e-27,3.823265327936792e-22,2.645885805635754e-11
CH4,2.6635046637468497e-26,3.376778075487679e-26,26.78% 🔴🡅,28.83% 🔴🡅,-12.51% 🟠🡇,5.95% 🟡🡅,-12.51% 🟠🡇,-86.66% 🔴🡇,1025204.68% 🔴🡅,3.431269692591237e-26,2.8219763620754496e-26,2.330353602315815e-26,3.554315369317104e-27,2.730903805669137e-22,2.6458858056357542e-11
C6H12O6,2.991627183420402e-25,2.4312802143511293e-25,-18.73% 🟠🡇,-9.13% 🟡🡇,-41.13% 🔴🡇,-31.07% 🔴🡇,-41.13% 🔴🡇,-97.47% 🔴🡇,657151.26% 🔴🡅,2.718550808349065e-25,2.0621048774847296e-25,1.7612983393484146e-25,7.554884574894285e-27,1.966250740081778e-21,2.6458858056357532e-11
NH3,2.8279810583504195e-26,3.376778075487679e-26,19.41% 🟠🡅,21.33% 🟠🡅,-17.60% 🟠🡇,-0.21% 🩷🡇,-17.60% 🟠🡇,-87.43% 🔴🡇,965572.59% 🔴🡅,3.431269692591237e-26,2.8219763620754496e-26,2.330353602315815e-26,3.554315369317104e-27,2.730903805669137e-22,2.6458858056357542e-11
HCl,6.054325438915844e-26,6.078200535877823e-26,0.39% 🩷🡅,5.06% 🟡🡅,-29.72% 🔴🡇,-15.68% 🟠🡇,-29.72% 🔴🡇,-92.65% 🔴🡇,811819.82% 🔴🡅,6.360918981728565e-26,5.105102269129991e-26,4.2547082653962495e-26,4.448989492689e-27,4.915626850204445e-22,2.6458858056357532e-11
C2H6,4.993240974991757e-26,6.078200535877823e-26,21.73% 🟠🡅,27.39% 🔴🡅,-14.79% 🟠🡇,2.24% 🟢🡅,-14.79% 🟠🡇,-91.09% 🔴🡇,984356.16% 🔴🡅,6.360918981728565e-26,5.105102269129991e-26,4.2547082653962495e-26,4.448989492689e-27,4.915626850204445e-22,2.6458858056357532e-11
C2H4,4.65781208342264e-26,5.402844920780287e-26,16.00% 🟠🡅,20.68% 🟠🡅,-19.04% 🟠🡇,-2.67% 🟡🡇,-19.04% 🟠🡇,-90.87% 🔴🡇,937989.82% 🔴🡅,5.621263446901114e-26,4.5335019131580235e-26,3.771142606758568e-26,4.253269042668862e-27,4.369446089070619e-22,2.645885805635754e-11
C2H2,4.324043730920697e-26,4.7274893056827507e-26,9.33% 🟡🡅,13.00% 🟠🡅,-23.94% 🟠🡇,-8.36% 🟡🡇,-23.94% 🟠🡇,-90.65% 🔴🡇,884087.48% 🔴🡅,4.885982075191758e-26,3.962385320315301e-26,3.289080371621134e-26,4.0417728515422256e-27,3.823265327936792e-22,2.645885805635754e-11
NaCl,9.70419030856396e-26,9.454978611365501e-26,-2.57% 🟡🡇,4.19% 🟡🡅,-31.06% 🔴🡇,-17.89% 🟠🡇,-31.06% 🔴🡇,-94.57% 🔴🡇,787861.74% 🔴🡅,1.011065373638448e-25,7.968512507604768e-26,6.690425155357887e-26,5.2669006844004825e-27,7.646530655873584e-22,2.645885805635754e-11
C8H18,1.8968337764326854e-25,3.309242513977925e-25,74.46% 🔴🡅,97.85% 🔴🡅,27.37% 🔴🡅,48.24% 🔴🡅,27.37% 🔴🡅,-95.52% 🔴🡇,1410822.65% 🔴🡅,3.75297510934254e-25,2.8118006840814457e-25,2.4160385800491485e-25,8.499054807899983e-27,2.676285729555754e-21,2.645885805635754e-11
C6H6,1.2970470653694916e-25,1.6208534762340858e-25,24.96% 🟠🡅,37.11% 🔴🡅,-10.39% 🟠🡇,5.72% 🟡🡅,-10.39% 🟠🡇,-95.01% 🔴🡇,1010529.35% 🔴🡅,1.778403655761128e-25,1.3712102134198874e-25,1.1623422783099037e-25,6.470933811793227e-27,1.3108338267211858e-21,2.6458858056357536e-11
CH3COOH,9.971869206192385e-26,1.0805689841560574e-25,8.36% 🟡🡅,16.62% 🟠🡅,-23.07% 🟠🡇,-8.59% 🟡🡇,-23.07% 🟠🡇,-94.44% 🔴🡇,876254.47% 🔴🡅,1.1629600706374753e-25,9.115777587191786e-26,7.671409396434872e-26,5.542504849876513e-27,8.738892178141237e-22,2.645885805635754e-11
H2SO4,1.6286401116934371e-25,1.6883890377438394e-25,3.67% 🟡🡅,13.96% 🟠🡅,-25.58% 🔴🡇,-12.27% 🟠🡇,-25.58% 🔴🡇,-95.96% 🔴🡇,838300.02% 🔴🡅,1.8560657150780128e-25,1.4287286820317324e-25,1.2120059849124608e-25,6.572623330067616e-27,1.3654519028345686e-21,2.6458858056357542e-11
CaCO3,1.661982075623221e-25,1.6883890377438394e-25,1.59% 🟢🡅,11.68% 🟠🡅,-27.07% 🔴🡇,-14.03% 🟠🡇,-27.07% 🔴🡇,-96.05% 🔴🡇,821480.40% 🔴🡅,1.8560657150780128e-25,1.4287286820317324e-25,1.2120059849124608e-25,6.572623330067616e-27,1.3654519028345686e-21,2.6458858056357542e-11
C12H22O11,5.684025226936077e-25,5.943129412858315e-25,4.56% 🟡🡅,21.74% 🟠🡅,-22.52% 🟠🡇,-10.89% 🟠🡇,-22.52% 🟠🡇,-98.13% 🔴🡇,845496.30% 🔴🡅,6.91987025386917e-25,5.065186245106849e-25,4.404149136193627e-25,1.0629172743583725e-26,4.806390697977681e-21,2.645885805635754e-11
Caffeine,3.224600814544893e-25,6.550949466446098e-25,103.16% 🔴🡅,137.57% 🔴🡅,50.92% 🔴🡅,73.22% 🔴🡅,50.92% 🔴🡅,-96.58% 🔴🡇,1642879.61% 🔴🡅,7.660550072549827e-25,5.585796884946858e-25,4.866693176004734e-25,1.1031954184873151e-26,5.297953382998127e-21,2.645885805635754e-11
DNA (avg),1.0793503936630003e-23,3.376778075487679e-23,212.85% 🔴🡅,329.59% 🔴🡅,155.91% 🔴🡅,169.29% 🔴🡅,155.91% 🔴🡅,-99.54% 🔴🡇,2530036.48% 🔴🡅,4.63673660457235e-23,2.9066081382967026e-23,2.762124228762826e-23,4.9734069080845733e-26,2.730903805669137e-19,2.645885805635754e-11
